"incident_number","arrest_date","gender","race","age","charge","most_serious"
"12BU000215",2012-02-08 10:50:00,"Male - M","White - W",48,"Aggravated Assault 13 VSA 1024 13A",1
"12BU000300",2012-01-04 15:08:00,"Female - F","White - W",47,"Embezzlement 13 VSA 2531 270",1
"12BU000308",2012-01-04 16:45:00,NA,NA,NA,"Violation Of Conditions Of Release (Travel, Curfew, Or Contact) 13 VSA 7559(F) 90Z",1
"12BU000348",2012-01-05 11:15:00,"Male - M","Black - B",28,"Driving With A Criminally Suspended License 23 VSA 674 90Z",1
"12BU000352",2012-01-05 11:08:00,"Male - M","White - W",20,"Drugs - Marijuana, Possession Or Cultivation -Misdemeanor 18 VSA 4230(A)(1) 35A",1
"12BU000364",2012-01-05 16:34:00,"Male - M","White - W",49,"Driving With A Criminally Suspended License 23 VSA 674 90Z",1
"12BU000365",2012-01-05 15:43:43,NA,NA,NA,"Burglary 13 VSA 1201 220",1
"12BU000411",2012-01-06 00:24:00,"Male - M","White - W",28,NA,0
"12BU000448",2012-01-06 12:00:00,"Male - M","White - W",32,"Driving With A Criminally Suspended License 23 VSA 674 90Z",0
"12BU000448",2012-01-06 12:00:00,"Male - M","White - W",32,"Drugs - Depressant, Stimulant, And Narcotic Possession Misdemeanor 18 VSA 4234(A)(1) 35A",1
"12BU000460",2012-01-06 12:46:00,NA,NA,NA,"Retail Theft (Felony) 13 VSA 2575 23C",1
"12BU000466",2012-01-06 14:30:00,"Male - M","White - W",36,"Unlawful Trespass (Misdemeanor) 13 VSA 3705 90J",1
"12BU000467",2012-01-06 16:48:00,"Male - M","Black - B",23,"Domestic Assault 13 VSA 1042 13B",1
"12BU000467",2012-01-06 16:48:00,"Male - M","Black - B",23,"Petit Larceny From A Building/Residence/Structure 13 VSA 2502 23H",0
"12BU000512",2012-01-06 19:43:00,"Female - F","White - W",24,"Petit Larceny Other 13 VSA 2502 23H",1
"12BU000516",2012-01-06 21:13:00,"Female - F","White - W",21,"Driving Under The Influence - First Offense 23 VSA 1201 90D",1
"12BU000530",2012-01-06 22:29:00,"Female - F","White - W",31,"Driving With A Criminally Suspended License 23 VSA 674 90Z",1
"12BU000540",2012-01-06 23:39:00,"Female - F","White - W",21,"Liquor Sale Or Furnishing To Minors, Enabling Consumption By Minors - Felony 7 VSA 658(D) 90G",1
"12BU000549",2012-02-08 18:15:00,"Male - M","Black - B",22,"Aggravated Assault 13 VSA 1024 13A",1
"12BU000549",2012-02-08 18:15:00,"Male - M","Black - B",22,"Simple Assault 13 VSA 1023 13B",0
"12BU000549",2012-02-08 18:15:00,"Male - M","Black - B",22,"Stalking 13 VSA 1062 13C",0
"12BU000550",2012-01-07 03:58:00,NA,NA,NA,"Unlawful Trespass (Misdemeanor) 13 VSA 3705 90J",1
"12BU000550",2012-01-07 03:58:00,NA,NA,NA,"Unlawful Mischief (Misdemeanor) 13 VSA 3701(B) 290",0
"12BU000597",2012-01-07 18:03:00,"Male - M","White - W",25,"Drugs - Depressant, Stimulant, And Narcotic - Sale 18 VSA 4234(B)(1) 35A",1
"12BU000597",2012-01-07 18:03:00,"Male - M","White - W",25,"Simple Assault 13 VSA 1023 13B",0
"12BU000597",2012-01-07 18:03:00,"Male - M","White - W",25,"False Information To A Police Officer 13 VSA 1754 90Z",0
"12BU000597",2012-01-07 15:54:00,"Male - M","Black - B",21,"Drugs - Depressant, Stimulant, And Narcotic - Sale 18 VSA 4234(B)(1) 35A",1
"12BU000634",2012-01-07 23:57:00,"Male - M","White - W",28,"Driving With A Criminally Suspended License 23 VSA 674 90Z",1
"12BU000642",2012-01-08 01:50:00,"Male - M","White - W",32,"Driving Under The Influence - First Offense 23 VSA 1201 90D",1
"12BU000685",2012-07-19 17:00:00,"Male - M","White - W",52,"Drugs - Selling Or Dispensing A Regulated Drug With Death Resulting 18 VSA 4250 35A",1
"12BU000685",2012-07-19 17:00:00,"Male - M","White - W",52,"Drugs - Marijuana, Possession Or Cultivation 2+ Ounces Or >3 Plants 18 VSA 4230(A)(2) 35A",0
"12BU000735",2012-01-09 05:30:00,"Male - M","White - W",48,"Domestic Assault 13 VSA 1042 13B",1
"12BU000741",2012-01-09 10:24:00,"Male - M","White - W",34,NA,0
"12BU000767",2012-01-09 17:01:48,"Male - M","White - W",41,"Driving With A Criminally Suspended License 23 VSA 674 90Z",1
"12BU000771",2012-01-09 16:49:00,"Male - M","White - W",29,NA,0
"12BU000773",2012-01-09 16:59:00,"Female - F","White - W",26,NA,0
"12BU000774",2012-01-11 09:35:00,"Male - M","White - W",28,"Petit Larceny From Other Location 13 VSA 2502 23H",1
"12BU000779",2012-01-09 18:12:15,"Male - M","White - W",26,NA,0
"12BU000794",2012-01-09 20:31:00,"Female - F","White - W",41,"Removing, Aid Or Abet In Removal, Of Merchandise Without Paying 13 VSA 2575(1) 23C",1
"12BU000797",2012-01-10 00:28:00,NA,NA,NA,"Domestic Assault 13 VSA 1042 13B",1
"12BU000803",2012-01-10 00:09:00,"Male - M","White - W",25,NA,0
"12BU000814",2012-01-10 01:42:00,"Female - F","White - W",28,"Simple Assault 13 VSA 1023 13B",1
"12BU000828",2012-01-10 08:25:00,"Female - F","White - W",29,"Domestic Assault 13 VSA 1042 13B",1
"12BU000861",2012-01-18 13:00:00,"Male - M","White - W",47,"Sex Offender Registry Violation (Felony) 13 VSA 5407 90Z",1
"12BU000869",2012-01-10 18:37:00,"Male - M","Black - B",45,"Driving With A Criminally Suspended License 23 VSA 674 90Z",1
"12BU000884",2012-01-10 22:35:00,"Male - M","Black - B",23,"Retail Theft (Misdemeanor) 13 VSA 2575 23C",1
"12BU000888",2012-01-10 22:45:00,"Male - M","White - W",37,"Driving With A Criminally Suspended License 23 VSA 674 90Z",1
"12BU000888",2012-01-10 21:50:00,"Male - M","White - W",45,"Drugs - Heroin, Possession (Misdemeanor) 18 VSA 4233(A)(1) 35A",1
"12BU000890",2012-01-10 22:00:00,NA,NA,NA,"Aggravated Assault 13 VSA 1024 13A",1
"12BU000897",2012-01-11 03:39:00,"Male - M","Black - B",26,"Drugs - Heroin, Possession 2+ Grams 18 VSA 4233(A)(4) 35A",1
"12BU000906",2012-01-11 07:11:00,"Male - M","Asian - A",19,"Lewd And Lascivious Conduct 13 VSA 2601 90Z",1
"12BU000931",2012-01-11 16:48:00,NA,NA,NA,"Retail Theft (Misdemeanor) 13 VSA 2575 23C",1
"12BU000933",2012-01-26 13:05:00,NA,NA,NA,"Stolen Property Receiving (Possession Of) Stolen Property (Misdemeanor) 13 VSA 2561 280",1
"12BU000933",2012-01-11 16:10:00,"Male - M","White - W",25,"Stolen Property Receiving (Possession Of) Stolen Property (Misdemeanor) 13 VSA 2561 280",1
"12BU000933",2012-01-11 16:10:00,"Female - F","Black - B",24,"Stolen Property Receiving (Possession Of) Stolen Property (Misdemeanor) 13 VSA 2561 280",1
"12BU000968",2012-01-27 07:56:00,"Male - M","White - W",21,"Leaving Scene Of An Accident 23 VSA 1128(A) 90Z",1
"12BU000993",2012-01-12 14:42:00,"Female - F","Unknown - U",25,"Petit Larceny From A Building/Residence/Structure 13 VSA 2502 23H",1
"12BU001013",2012-01-12 21:25:00,"Male - M","White - W",41,"Driving Under The Influence - First Offense 23 VSA 1201 90D",1
"12BU001085",2012-01-13 13:27:33,"Male - M","White - W",25,"Stolen Property Receiving (Possession Of) Stolen Property (Misdemeanor) 13 VSA 2561 280",1
"12BU001085",2012-01-26 14:34:00,"Male - M","White - W",26,"Stolen Property Receiving (Possession Of) Stolen Property (Misdemeanor) 13 VSA 2561 280",1
"12BU001085",2012-01-13 14:35:00,"Female - F","Black - B",24,"Stolen Property Receiving (Possession Of) Stolen Property (Misdemeanor) 13 VSA 2561 280",1
"12BU001093",2012-01-13 14:36:00,"Female - F","White - W",32,"Violation Of Conditions Of Release (Travel, Curfew, Or Contact) 13 VSA 7559(F) 90Z",1
"12BU001100",2012-01-13 15:11:00,"Male - M","White - W",25,NA,0
"12BU001104",2012-01-13 21:03:00,"Male - M","White - W",20,NA,0
"12BU001184",2012-01-14 17:46:00,NA,NA,NA,"Lewd And Lascivious Conduct 13 VSA 2601 90Z",1
"12BU001207",2012-01-14 21:07:00,"Male - M","White - W",34,"Disorderly Conduct By Phone Or Electronic Communication 13 VSA 1027 90C",1
"12BU001234",2012-01-18 00:30:00,"Male - M","White - W",22,"Murder - 2nd Degree 13 VSA 2303(A)(2) 09A",1
"12BU001237",2012-01-15 04:05:00,"Male - M","White - W",22,"Domestic Assault 13 VSA 1042 13B",1
"12BU001290",2012-01-15 16:21:00,"Male - M","White - W",28,"Disorderly Conduct - All Other 13 VSA 1026 90C",1
"12BU001307",2012-01-15 20:19:00,NA,NA,NA,NA,0
"12BU001315",2012-01-15 21:35:00,"Female - F","White - W",21,"Leaving Scene Of An Accident 23 VSA 1128(A) 90Z",0
"12BU001315",2012-01-15 21:35:00,"Female - F","White - W",21,"Driving Under The Influence - First Offense 23 VSA 1201 90D",1
"12BU001326",2012-01-16 00:36:00,"Male - M","Asian - A",17,"Violation Of Conditions Of Release (Travel, Curfew, Or Contact) 13 VSA 7559(F) 90Z",1
"12BU001379",2012-01-16 11:20:00,"Male - M","White - W",24,"Domestic Assault - 2nd Degree Aggravated 13 VSA 1044 13A",1
"12BU001389",2012-01-16 13:00:00,"Male - M","Other - U",31,"False Alarms To Public Safety 13 VSA 1751(A) 90Z",0
"12BU001389",2012-01-16 13:00:00,"Male - M","Other - U",31,"False Information To A Police Officer 13 VSA 1754 90Z",1
"12BU001389",2012-01-16 13:00:00,"Male - M","White - W",24,"False Information To A Police Officer 13 VSA 1754 90Z",1
"12BU001422",2012-01-16 18:33:00,"Male - M","White - W",25,NA,0
"12BU001441",2012-01-16 22:23:00,"Male - M","White - W",25,"Disorderly Conduct - All Other 13 VSA 1026 90C",1
"12BU001441",2012-01-16 22:23:00,"Female - F","White - W",23,"Disorderly Conduct - All Other 13 VSA 1026 90C",1
"12BU001447",2012-01-17 03:37:55,NA,NA,NA,"Assault And Robbery 13 VSA 608 120",1
"12BU001447",2012-01-17 07:28:00,"Male - M","White - W",22,"Assault And Robbery 13 VSA 608 120",1
"12BU001447",2012-01-17 07:28:00,"Male - M","White - W",22,"Burglary 13 VSA 1201 220",0
"12BU001447",2012-04-06 17:24:00,"Male - M","Black - B",21,"Assault And Robbery 13 VSA 608 120",1
"12BU001447",2012-04-06 17:24:00,"Male - M","Black - B",21,"Burglary 13 VSA 1201 220",0
"12BU001480",2012-01-17 14:52:58,"Male - M","White - W",17,"Petit Larceny From A Building/Residence/Structure 13 VSA 2502 23H",1
"12BU001483",2012-01-17 13:45:35,"Male - M","Asian - A",30,"Stolen Property Receiving (Possession Of) Stolen Property (Misdemeanor) 13 VSA 2561 280",1
"12BU001525",2012-01-18 02:57:00,"Male - M","White - W",21,"Simple Assault 13 VSA 1023 13B",1
"12BU001525",2012-01-18 02:57:00,"Male - M","Black - B",17,"Simple Assault 13 VSA 1023 13B",1
"12BU001569",2012-01-18 20:34:00,"Female - F","White - W",42,"Retail Theft (Misdemeanor) 13 VSA 2575 23C",1
"12BU001570",2012-03-08 22:30:00,"Male - M","Black - B",26,"False Pretenses 13 VSA 2002 26A",0
"12BU001618",2012-01-19 13:26:30,"Male - M","Black - B",29,"Drugs - Cocaine, Sale <2.5 Gm 18 VSA 4231(B)(1) 35A",1
"12BU001627",2012-01-19 16:30:00,"Male - M","White - W",18,"Removing, Aid Or Abet In Removal, Of Merchandise Without Paying 13 VSA 2575(1) 23C",1
"12BU001652",2012-01-19 23:33:51,"Female - F","White - W",29,"Driving With A Criminally Suspended License 23 VSA 674 90Z",0
"12BU001665",2012-01-20 01:57:05,"Male - M","Black - B",37,"Simple Assault 13 VSA 1023 13B",1
"12BU001665",2012-01-20 01:57:05,"Male - M","Black - B",37,"Resisting Arrest 13 VSA 3017 90Z",0
"12BU001668",2012-01-20 02:31:44,"Male - M","White - W",21,"Unlawful Mischief (Misdemeanor) 13 VSA 3701(B) 290",1
"12BU001745",2012-01-20 21:08:57,"Male - M","White - W",30,"Driving With A Criminally Suspended License 23 VSA 674 90Z",1
"12BU001745",2012-01-20 21:08:00,"Male - M","White - W",26,"Drugs - Marijuana, Possession Or Cultivation -Misdemeanor 18 VSA 4230(A)(1) 35A",1
"12BU001745",2012-01-20 21:08:00,"Male - M","White - W",26,"Drugs - Depressant, Stimulant, And Narcotic Possession Misdemeanor 18 VSA 4234(A)(1) 35A",0
"12BU001779",2012-01-21 01:10:00,"Male - M","White - W",46,"Domestic Assault 13 VSA 1042 13B",1
"12BU001790",2012-01-21 01:34:38,"Male - M","White - W",25,"Disorderly Conduct - All Other 13 VSA 1026 90C",1
"12BU001790",2012-01-21 01:34:00,"Male - M","White - W",26,"Disorderly Conduct - All Other 13 VSA 1026 90C",1
"12BU001797",2012-01-21 02:45:00,NA,NA,NA,"Driving Under The Influence - Criminal Refusal 23 VSA 1202 90D",1
"12BU001817",2012-01-21 10:40:00,NA,NA,NA,"Violation Of An Abuse Prevention Order 13 VSA 1030 90Z",1
"12BU001826",2012-01-21 12:11:58,"Male - M","White - W",25,"Removing, Aid Or Abet In Removal, Of Merchandise Without Paying 13 VSA 2575(1) 23C",1
"12BU001832",2012-01-21 12:28:00,"Male - M","White - W",30,"Escape 13 VSA 1501 90Z",1
"12BU001852",2012-01-21 17:41:32,"Male - M","Black - B",55,"Driving With A Criminally Suspended License 23 VSA 674 90Z",1
"12BU001889",2012-01-22 02:12:34,"Male - M","White - W",27,"Disorderly Conduct - All Other 13 VSA 1026 90C",1
"12BU001889",2012-01-22 02:12:00,"Male - M","White - W",29,"Disorderly Conduct - All Other 13 VSA 1026 90C",0
"12BU001889",2012-01-22 02:12:00,"Male - M","White - W",29,"Drugs - Cocaine, Possession  Misdemeanor 18 VSA 4231(A)(1) 35A",1
"12BU001896",2012-01-22 01:40:00,"Male - M","Black - B",30,"Drugs - Marijuana, Possession Or Cultivation -Misdemeanor 18 VSA 4230(A)(1) 35A",1
"12BU001896",2012-01-22 01:40:00,"Male - M","Black - B",30,"Resisting Arrest 13 VSA 3017 90Z",0
"12BU001896",2012-01-22 01:40:00,"Male - M","Black - B",30,"Disorderly Conduct - All Other 13 VSA 1026 90C",0
"12BU001896",2012-01-22 01:40:00,"Male - M","Black - B",30,"Assault On A Law Enforcement Officer/Firefighter/EMS/Health Care Worker (Misdemeanor) 13 VSA 1028(A)(1) 13B",0
"12BU001902",2012-01-22 04:04:40,"Male - M","White - W",28,"Driving Under The Influence - First Offense 23 VSA 1201 90D",1
"12BU001910",2012-01-22 09:20:00,"Male - M","White - W",51,"Credit Card/ATM Fraud 9 VSA 4043 26B",1
"12BU001927",2012-01-22 15:15:00,"Female - F","White - W",29,NA,1
"12BU001959",2012-01-22 19:00:00,"Male - M","White - W",48,"Domestic Assault - 2nd Degree Aggravated 13 VSA 1044 13A",1
"12BU001959",2012-01-22 19:00:00,"Male - M","White - W",48,"Disorderly Conduct - All Other 13 VSA 1026 90C",0
"12BU001959",2012-01-22 19:00:00,"Male - M","White - W",48,"Unlawful Mischief (Misdemeanor) 13 VSA 3701(B) 290",0
"12BU001979",2012-01-22 23:05:00,"Male - M","White - W",41,"Domestic Assault 13 VSA 1042 13B",1
"12BU001979",2012-01-22 23:05:00,"Male - M","White - W",41,"Simple Assault 13 VSA 1023 13B",0
"12BU001981",2012-01-23 00:15:00,"Male - M","White - W",35,"Driving Under The Influence - Second And Subsequent Offense 23 VSA 1201 90D",1
"12BU001981",2012-01-23 00:15:00,"Male - M","White - W",35,"Driving With A Criminally Suspended License 23 VSA 674 90Z",0
"12BU001996",2012-01-23 10:00:00,"Male - M","White - W",40,"Drugs - Cocaine, Possession  >2.5 Gm 18 VSA 4231(A)(1) 35A",1
"12BU001996",2012-01-23 13:00:00,"Female - F","White - W",35,"False Information To A Police Officer 13 VSA 1754 90Z",1
"12BU001997",2012-01-23 09:13:51,"Male - M","White - W",29,"Assault On A Law Enforcement Officer/Firefighter/EMS/Health Care Worker (Misdemeanor) 13 VSA 1028(A)(1) 13B",1
"12BU002027",2012-01-23 12:39:52,"Male - M","White - W",36,"Violation Of Conditions Of Release (Other) 13 VSA 7559(E) 90Z",1
"12BU002035",2012-01-23 14:56:02,"Male - M","White - W",43,"Unlawful Trespass (Felony) 13 VSA 3705(D) 90J",0
"12BU002035",2012-01-23 14:56:02,"Male - M","White - W",43,"Lewd And Lascivious Conduct 13 VSA 2601 90Z",1
"12BU002041",2012-01-23 14:57:10,"Male - M","White - W",18,"Drugs - Marijuana, Possession Or Cultivation -Misdemeanor 18 VSA 4230(A)(1) 35A",1
"12BU002042",2012-01-23 15:47:07,NA,NA,NA,"Removing, Aid Or Abet In Removal, Of Merchandise Without Paying 13 VSA 2575(1) 23C",1
"12BU002047",2012-01-23 16:06:56,"Male - M","Black - B",42,"Obstruction Of Justice 13 VSA 3015 90Z",1
"12BU002047",2012-01-23 16:06:56,"Male - M","Black - B",42,"Violation Of An Abuse Prevention Order 13 VSA 1030 90Z",0
"12BU002049",2012-01-23 16:26:28,"Female - F","Asian - A",18,"Retail Theft (Misdemeanor) 13 VSA 2575 23C",1
"12BU002049",2012-03-04 18:45:00,NA,NA,NA,"Retail Theft (Misdemeanor) 13 VSA 2575 23C",1
"12BU002049",2012-03-02 16:41:00,NA,NA,NA,"Retail Theft (Misdemeanor) 13 VSA 2575 23C",1
"12BU002063",2012-01-24 01:05:00,NA,NA,NA,"Drugs - Marijuana, Possession Or Cultivation 2+ Ounces Or >3 Plants 18 VSA 4230(A)(2) 35A",1
"12BU002069",2012-01-23 23:54:50,"Male - M","White - W",35,"Disorderly Conduct - All Other 13 VSA 1026 90C",1
"12BU002069",2012-01-23 22:29:00,"Male - M","White - W",69,"Disorderly Conduct - All Other 13 VSA 1026 90C",1
"12BU002075",2012-01-24 00:20:00,"Male - M","White - W",50,NA,0
"12BU002075",2012-01-24 00:20:00,"Male - M","White - W",50,NA,0
"12BU002077",2012-01-24 05:52:48,"Male - M","White - W",21,NA,0
"12BU002081",2012-01-24 04:50:00,"Male - M","White - W",20,"Driving Under The Influence - First Offense 23 VSA 1201 90D",1
"12BU002081",2012-01-24 04:50:00,"Male - M","White - W",20,"Leaving Scene Of An Accident 23 VSA 1128(A) 90Z",0
"12BU002082",2012-02-12 12:00:00,NA,NA,NA,"Theft Of Services (Misdemeanor) 13 VSA 2582 23H",1
"12BU002083",2012-01-24 03:55:00,"Female - F","White - W",27,"Driving Under The Influence - First Offense 23 VSA 1201 90D",1
"12BU002096",2012-01-24 12:45:46,"Female - F","White - W",43,"Driving With A Criminally Suspended License 23 VSA 674 90Z",0
"12BU002096",2012-01-24 12:45:46,"Female - F","White - W",43,"Leaving Scene Of An Accident 23 VSA 1128(A) 90Z",1
"12BU002105",2012-01-24 13:24:50,NA,NA,NA,"Identity Theft 13 VSA 2030 26F",1
"12BU002111",2012-01-24 15:45:00,"Male - M","White - W",41,"Probation-Parole Violation 28 VSA 205 90Z",1
"12BU002112",2012-01-24 16:34:50,"Female - F","White - W",36,NA,0
"12BU002176",2012-01-25 15:29:11,"Female - F","Black - B",32,"Retail Theft (Misdemeanor) 13 VSA 2575 23C",1
"12BU002176",2012-01-25 16:10:00,"Male - M","Black - B",38,"Retail Theft (Misdemeanor) 13 VSA 2575 23C",0
"12BU002179",2012-01-25 15:00:00,"Male - M","White - W",57,"Violation Of Conditions Of Release (Travel, Curfew, Or Contact) 13 VSA 7559(F) 90Z",0
"12BU002179",2012-01-25 15:00:00,"Male - M","White - W",57,"False Information To A Police Officer 13 VSA 1754 90Z",1
"12BU002187",2012-01-25 21:05:42,"Male - M","White - W",24,"Negligent Operation 23 VSA 1091(A) 90Z",1
"12BU002187",2012-01-25 20:00:00,"Male - M","White - W",24,"Driving With A Criminally Suspended License 23 VSA 674 90Z",1
"12BU002187",2012-01-25 20:05:00,"Male - M","White - W",24,"Driving With A Criminally Suspended License 23 VSA 674 90Z",1
"12BU002197",2012-01-25 21:53:59,NA,NA,NA,"Burglary 13 VSA 1201 220",0
"12BU002198",2012-01-25 20:45:00,"Male - M","White - W",37,"Unlawful Trespass (Misdemeanor) 13 VSA 3705 90J",1
"12BU002235",2012-01-26 12:17:36,"Male - M","White - W",41,"Grand Larceny 13 VSA 2501 23H",1
"12BU002245",2013-04-23 09:40:00,"Male - M","Black - B",27,"Drugs - Depressant, Stimulant, And Narcotic - Sale 18 VSA 4234(B)(1) 35A",1
"12BU002272",2012-01-26 22:11:47,"Male - M","White - W",43,"False Information To A Police Officer 13 VSA 1754 90Z",1
"12BU002272",2012-01-26 22:11:47,"Male - M","White - W",43,"Assault On A Law Enforcement Officer/Firefighter/EMS/Health Care Worker (Misdemeanor) 13 VSA 1028(A)(1) 13B",NA
"12BU002274",2012-01-26 21:01:49,"Female - F","White - W",29,"Driving With A Criminally Suspended License 23 VSA 674 90Z",1
"12BU002288",2012-01-27 00:45:00,"Female - F","White - W",47,"Simple Assault 13 VSA 1023 13B",1
"12BU002288",2012-01-27 00:45:00,NA,NA,NA,"Aggravated Assault 13 VSA 1024 13A",1
"12BU002320",2012-01-27 11:10:00,"Male - M","Black - B",46,"Disorderly Conduct - All Other 13 VSA 1026 90C",1
"12BU002361",2012-01-27 19:00:36,"Male - M","Black - B",42,"Driving With A Criminally Suspended License 23 VSA 674 90Z",1
"12BU002373",2012-01-27 22:55:00,"Male - M","White - W",18,"Driving Under The Influence - First Offense 23 VSA 1201 90D",1
"12BU002390",2012-02-17 21:15:00,"Male - M","Black - B",22,"Domestic Assault - 1st Degree Aggravated 13 VSA 1043 13A",1
"12BU002393",2012-01-28 01:15:00,NA,NA,NA,"Violation Of Conditions Of Release (Travel, Curfew, Or Contact) 13 VSA 7559(F) 90Z",1
"12BU002393",2012-01-28 01:15:00,NA,NA,NA,"False Information To A Police Officer 13 VSA 1754 90Z",0
"12BU002397",2012-01-28 01:31:54,"Male - M","Black - B",34,"Resisting Arrest 13 VSA 3017 90Z",1
"12BU002397",2012-01-28 01:31:54,"Male - M","Black - B",34,"Disorderly Conduct - All Other 13 VSA 1026 90C",0
"12BU002397",2012-01-28 01:31:54,"Male - M","Black - B",34,"Assault On A Law Enforcement Officer/Firefighter/EMS/Health Care Worker (Felony) 13 VSA 1028(A)(2) 13A",0
"12BU002397",2012-01-28 01:31:54,"Male - M","Black - B",34,"Unlawful Trespass (Misdemeanor) 13 VSA 3705 90J",0
"12BU002438",2012-03-05 13:35:00,"Male - M","Black - B",22,"Aggravated Assault 13 VSA 1024 13A",1
"12BU002445",2012-01-28 15:29:02,"Male - M","White - W",40,"False Information To A Police Officer 13 VSA 1754 90Z",0
"12BU002445",2012-01-28 15:29:02,"Male - M","White - W",40,"Unlawful Mischief (Misdemeanor) 13 VSA 3701(B) 290",0
"12BU002445",2012-01-28 15:29:02,"Male - M","White - W",40,"Stolen Property Receiving (Possession Of) Stolen Property (Felony) 13 VSA 2561 280",1
"12BU002449",2012-01-28 16:30:00,NA,NA,NA,"Petit Larceny From Other Location 13 VSA 2502 23H",1
"12BU002474",2012-01-28 21:51:19,"Male - M","White - W",24,"Driving With A Criminally Suspended License 23 VSA 674 90Z",1
"12BU002492",2012-01-29 00:15:00,"Male - M","White - W",26,"Disorderly Conduct - All Other 13 VSA 1026 90C",1
"12BU002492",2012-01-29 00:15:00,"Male - M","White - W",27,"Disorderly Conduct - All Other 13 VSA 1026 90C",1
"12BU002503",2012-01-29 01:50:00,"Male - M","Black - B",28,"Domestic Assault - 1st Degree Aggravated 13 VSA 1043 13A",0
"12BU002504",2012-01-29 02:35:00,"Male - M","White - W",41,"Driving Under The Influence - Criminal Refusal 23 VSA 1202 90D",1
"12BU002504",2012-01-29 02:35:00,"Male - M","White - W",41,"Driving With A Criminally Suspended License 23 VSA 674 90Z",0
"12BU002520",2012-01-29 15:26:00,NA,NA,NA,"Leaving Scene Of An Accident 23 VSA 1128(A) 90Z",1
"12BU002556",2012-01-29 20:30:19,"Male - M","White - W",54,"Unlawful Trespass (Misdemeanor) 13 VSA 3705 90J",1
"12BU002559",2012-01-29 22:17:20,"Male - M","White - W",45,"Driving Under The Influence - First Offense 23 VSA 1201 90D",1
"12BU002562",2012-01-29 21:45:00,"Male - M","White - W",42,"Domestic Assault - 2nd Degree Aggravated 13 VSA 1044 13A",1
"12BU002602",2012-01-30 13:31:56,NA,NA,NA,"Driving With A Criminally Suspended License 23 VSA 674 90Z",1
"12BU002621",2012-01-30 16:49:40,"Male - M","White - W",32,"Violation Of Conditions Of Release (Other) 13 VSA 7559(E) 90Z",1
"12BU002621",2012-01-30 16:49:40,"Male - M","White - W",32,"Driving With A Criminally Suspended License 23 VSA 674 90Z",0
"12BU002621",2012-01-30 16:49:40,"Male - M","White - W",32,"False Information To A Police Officer 13 VSA 1754 90Z",0
"12BU002649",2012-01-30 20:37:13,"Male - M","Black - B",55,"Driving With A Criminally Suspended License 23 VSA 674 90Z",1
"12BU002649",2012-01-30 20:37:13,"Male - M","Black - B",55,"Violation Of Conditions Of Release (Other) 13 VSA 7559(E) 90Z",0
"12BU002660",2012-01-31 02:44:00,"Female - F","White - W",21,"Driving Under The Influence - First Offense 23 VSA 1201 90D",1
"12BU002665",2012-01-31 04:07:00,"Male - M","White - W",16,"Burglary 13 VSA 1201 220",1
"12BU002665",2012-02-22 15:00:00,"Male - M","White - W",18,"Burglary 13 VSA 1201 220",1
"12BU002684",2012-01-31 10:05:00,"Male - M","White - W",30,"Disorderly Conduct - All Other 13 VSA 1026 90C",1
